index,chunk_num,text
27,0,"So if it's declared, its scope is within this  function only the function that it is defined in is the only place where it's valid. If I try to  use choice anywhere else, it would not work"
27,1,. So it will work only within this region.
28,0,"So because  it's a local variable, just in case I wanted to be global, I'll just define it here, just saying  not doing it right now"
28,1,". But then if you define it here, then you can use it throughout the class.  Anyways, so coming back to our function."
29,0,Now we'll check if a that the the number that you  user has entered is odd or even. Let's make an else block here. So we have defined it.
30,0,Let's just  compile it. Before compiling it. Let's comment out these because we haven't really created these  functions.
31,0,"So it will show us an error, just comment it out so that it does not interrupt  the compiling compiled with no error. Let's execute it"
31,1,". Let's execute it. So now it's asking us for an input,  we enter one, it's an even number."
32,0,"If we try to enter anything else.  For example, if I try to enter even two here, it's in issues invalid input. So let's do half of  it."
33,0,"After this, half of our project is done."
34,0,"Okay, now completing the rest of the project, let's remove these clashes here.  Okay, now let's define divide first of all, within the same class"
34,1,".  So again, similar way similarly, public static, again, it would not return anything, then  divide."
35,0,"And now it will divide numbers, again, it will ask for a number, we can just copy it  from here, rather than just typing it all again"
35,1,".  So first, we define a scanner class again, a scanner object again, and then let's just  take input, enter a number, enter another number"
35,2,".  Now we can simply, let's define it float as we are going to divide them, there is a high  possibility that we have to add, we'll have decimal values."
36,0,"So this is how you will do it.  Okay, compile, we can compile it.  But before that, just an exception that could actually happen."
37,0,"What if B is entered as zero, if A is entered as zero, it won't be a problem.  But in case B is entered as zero, it would be a big issue"
37,1,".  So to deal with it, what we can do is just write, if B is equal equal to zero, then we'll  print something else, we'll print do not enter zero."
38,0,"So that would help, it's just like throwing out an exception.  So that would be very helpful.  Then, if not, then we can simply just print the quotient or the whatever is the output  after division."
39,0,"So let's try and compile it.  Although, yes, we haven't defined this one.  So we'll define it as well."
40,0,"We need to join two strings, and its name should be string.  So let's just define the last function that we are left with.  So we'll be taking input from user, again, the same thing."
41,0,"Let's Yeah, we need to take two inputs here.  So the data type would be string"
41,1,".  So the data type would be string.  You can also change the name, but it's not mandatory as we do not as this as A and B up  there was just valid within the method."
42,0,"So you don't have to, it's not really important.  Okay, enter a string.  We're going to ask for a string."
43,0,"Yes, it shows some error.  Okay, yes.  Okay, we can simply just, okay, just join two strings."
44,0,"So the first string could be Java.  Just simply join these.  And the second one could be, now let's display that what both of these are."
45,0,"The first string is str1, str sorry, then the second one.  So how do we concat it?  Let's see, str.concat str2"
45,1,".  You can also use the plus sign here, you can just simply join it without the concat function  as well."
46,0,"Let's see what's the error here.  Okay, we did not use, okay, no syntax errors.  Let's see if everything works."
47,0,"So it shows odd number.  Then in case we want to divide two numbers, then we'll enter 2, 6, and then 8, 6 and 7.  So it gives us the output.  In case we enter 0, let's check that as well."
48,0,"So we entered 2.  Now enter a number, we enter 6, and then we enter 0.  Do not enter 0.  So it shows us that we shouldn't enter 0.  So it's working perfectly fine"
48,1,".  So it's working perfectly fine.  Now the last one, to join two strings.  So it shows us the first string is Java, second one is programming."
49,0,"After concatenation, the string is Java programming.  You can just give a little space after is, otherwise, it's all right."
50,0,"OK, so moving further now, we'll understand the if, else, if else statements."
51,0,As you can see in this program we've defined 2 variables.
52,0,We are taking input from the user in the variable A&B.
53,0,Now in the first if statement what we are doing is that we are checking if A is greater than B.
54,0,If A is greater than B we'll we'll tell the user the first number is the greater.
55,0,"Whereas if the case is opposite, if B is greater than A, then we'll say, well, the second number is greater."
56,0,Now the else block contains the last possibility that both numbers are equal.
57,0,"So just logically speaking, if A is in greater than, B&B is in greater than."
58,0,A.
59,0,"Then there's only one possibility, and that is that both are equal."
60,0,Find it that we can use as many as if else blocks as much as we want.
61,0,There's no condition placed after else but.
62,0,Else if statement just like if has space for expressions that return true or false.
63,0,Now let's check the working compiled.
64,0,Now let's see.
65,0,When I enter 5.
66,0,"It says enter another number, second number is greater."
67,0,Let's check if.
68,0,What if we enter both of them?
69,0,"Six, both are equal."
70,0,So that is how it works.
71,0,Both are equal.
72,0,So this is how if else statement works.
73,0,Now let's close it.
74,0,Let's move on to the second type.
75,0,Now the second type is switch case.
76,0,This is known as switch case.
77,0,Nothing different.
78,0,Nothing.
79,0,New except this block.
80,0,Which I'd be explaining right away.
81,0,Now we defined A variable int day is equal to 3.
82,0,Then I use the word switch brackets and then I put in the variable that I want the switch case for.
83,0,Then I write various cases when case 1A column.
84,0,"If the case is 1, by which we mean if the value of day is 1, then it should be Monday."
85,0,Print Monday.
86,0,Then I use a break statement.
87,0,Now what break statement does is it would not execute the cases or anything after it.
88,0,"No, the control would flow from this line to right outside here after this block."
89,0,So.
90,0,"After this bracket, the control would flow directly from here to here."
91,0,It will not execute anymore lines of codes in lines of code in the switch case.
92,0,So using a break statement is important.
93,0,It is also called a jump statement.
94,0,Now the last one when the case is due then it's Tuesday.
95,0,If it's three then Wednesday.
96,0,Let's suppose that like we we can see here the day is 3 equal to .
97,0,So it will check this now false wrong.
98,0,Then it will move to case two.
99,0,It won't execute this one because the case is in two.
100,0,Then three ohh yes it matches 3 and case 3.
101,0,So it will print Wednesday and break come out of the switch case.
102,0,"Now just in case none of them is true, let's suppose the day is 10 or 20 or something."
103,0,Then we have a statement.
104,0,It's called default.
105,0,"So just in case all of them are false, it will print wrong input."
106,0,Let's check it compile.
107,0,It shows us Wednesday.
108,0,Let's enter 7.
109,0,The day is 7.
110,0,The result would be Sunday.
111,0,And in case we enter.
112,0,"In case in case we enter some random number, let's say 800 and 989."
113,0,"OK, compile."
114,0,Now none of the cases are equal to 89.
115,0,Let's see the result.
116,0,Hence proved that last statement is the one that would be executed.
117,0,That would be wrong input.
118,0,So switch case.
119,0,With switch case a few things.
120,0,We can also use character.
121,0,We can also use a constant expression here for example 6.
122,0,Into.
123,0,Nine that can be used here.
124,0,"So whatever the answer is of this, that would be the case."
125,0,That is what that would be the value that would be the one that compared OK.
126,0,"Other than that, we can use character data type here."
127,0,"But using double for example 8.9897, this is something that's not a feature of switch case."
128,0,We cannot use decimal values here.
129,0,We also cannot use.
130,0,"Variables like a into B, No, that would be wrong."
131,0,So anything that's constant and is not in decimals can be used.
132,0,These are the few rules that we need to follow while using the switch case.
133,0,"Further, we'll understand variables in data types in Java."
134,0,"So in Java we have various data types and they have their sizes, specific sizes."
135,0,"For example, for character we have."
136,0,A data type called care.
137,0,It takes up two bytes in the memory.
138,0,"Byte, like the name suggests it takes 1 byte."
139,0,Short takes up two bytes.
140,0,"Integer takes up 4, long 8."
141,0,So you can read it here.
142,0,Boolean takes one bit.
143,0,"Now for a character, we can store ABC any single character."
144,0,"It could be even space, it could be a symbol, a number, just that it should be in double quotes."
145,0,We'll understand it in this video itself further.
146,0,"Byte, short, int and long."
147,0,All these four data types store integer type values.
148,0,What do we mean by integer?
149,0,"So it will be two, 3-4, hundred, 122, anything like that But."
150,0,With no decimal spaces float in double.
151,0,"To the contrary, they take values that have decimal spaces, say 6.26.289."
152,0,"Any of those boolean stores two things, either true or false."
153,0,That's all.
154,0,Now have a look at variable declaration and assignment.
155,0,So this line right here is an example of how to declare a variable.
156,0,And this is the representation just to understand it better.
157,0,"So I've mentioned the data type, it's float like you can see."
158,0,We have decimal spaces here.
159,0,"A is name of the variable, so of the identifier."
160,0,You can give it any name then equal to the value.
161,0,Here float as the data type A is the variable equal to.
162,0,Is the assignment operator and.
163,0,This is a constant.
164,0,Again; We need to use after each and every statement in the memory.
165,0,Just to visualize it a little bit.
166,0,"We have a space, it has its own address."
167,0,Just just an example.
168,0,"We are giving it a name, that name is A and we are storing a constant."
169,0,"In that variable in that space, now we can change."
170,0,We can change it to any other number.
171,0,"So the name remains same, the location remains same, the constant can keep on changing."
172,0,We can.
173,0,"We can write a equal to 6, so that's when it will erase this one and enter 66.28."
174,0,"Anything we want to, we can overwrite it."
175,0,Simply speaking.
176,0,Let's take a look at it how to do this in a program.
177,0,"So opening Blue Jay again, we'll create a new class, give it a name, let's give it name sum a simple program here, so."
178,0,Let's start open it.
179,0,It has already been.
180,0,You can just.
181,0,It is it completely or just simply?
182,0,This right here is also a comment.
183,0,"Anyways, we do not need it, so we've defined a class public class sum now again."
184,0,So here we'll define a variable.
185,0,Keep it very simple.
186,0,Int a is equal to 2.
187,0,"B is equal to 9, so you can separate it with a comma and then later on put a semi column there we want to print the sum of it."
188,0,So it will be.
189,0,We'll just print a plus.
190,0,B.
191,0,So what is happening right here?
192,0,Plus is also an operator.
193,0,We'll study it further.
194,0,We'll study all the operators that are used in Java.
195,0,So this is the data type.
196,0,This is name of variable.
197,0,I've assigned IT12B has the value 9.
198,0,Then I've printed the sum of A&B.
199,0,"So as per our anticipation, the answer should be the sum of 12 and 9."
200,0,"Let's see, compile it, no errors."
201,0,Then just run it.
202,0,So the sum here is 21 as you can see.
203,0,"So this is how to declare a variable, how to use data types and then use it."
204,0,"OK, so let's have a look at strings."
205,0,"In Java, Strings are nothing but they are text, just like you can see here first how we define a string."
206,0,It's string just like a data type integer.
207,0,Then we give it a name and then.
208,0,We assign the value here.
209,0,Now string is not a upfront straight away.
210,0,"It's not a data type, rather it is."
211,0,"It is a data type, but it's not a primary data type."
212,0,It's at the back end.
213,0,It's an array.
214,0,Now array is nothing but a combination of.
215,0,"A data type, so various locations of a data type."
216,0,"So what I mean by that is just like it has been defined here, JVA are characters and it has been combined to make a string."
217,0,"So a string in Java cannot be changed later on, we cannot expand it."
218,0,Because it is defined as an array.
219,0,Now there are a few functions that we can use with the strings.
220,0,These are a few.
221,0,There are a lot more that you can discover on your own.
222,0,Let's dive into it.
223,0,Let's see how to work with arrays.
224,0,"I mean, sorry, how to work with strings?"
225,0,"OK, have a look at it."
226,0,Let's define.
227,0,A class named String use.
228,0,"OK, so let's define a string and the string."
229,0,Why we do not need to import a function or any import a class or anything that is because.
230,0,String is stored in Java Lang which is the default package.
231,0,So we do not need to import any external package here String let's call it STR we'll call it.
232,0,Java is a language.
233,0,So this is our string.
234,0,Now how to work with this string we'll first of all we'll display it.
235,0,Let's.
236,0,Let's see the results.
237,0,So the original String is Java is a language.
238,0,Now let's have a look at what we can do with this string.
239,0,So now.
240,0,Let's suppose I want to change it to uppercase.
241,0,"I want all the letters to be capital, so I'll just use a function here STR dot."
242,0,2.
243,0,Upper.
244,0,Case.
245,0,"As it's a function, we'll have this."
246,0,We'll be using dot.
247,0,And.
248,0,We'll also have these.
249,0,Brackets here.
250,0,Let's check.
251,0,Wait.
252,0,The original string is this.
253,0,So.
254,0,"The string, we can write it the string."
255,0,In upper case.
256,0,"Similarly, we have another one here."
257,0,So it will.
258,0,We'll just write lower here and it will convert it into.
259,0,Lower case.
260,0,"OK, we'll see that later."
261,0,"Now we have many other functions that we can use here, the string."
262,0,After replacing.
263,0,Java with.
264,0,Guava.
265,0,"OK, now what we'll do here?"
266,0,We'll use a different function.
267,0,Dot replace.
268,0,Now in the first section we will be passing arguments here in Java.
269,0,Cover.
270,0,"What we've done here, the first argument is the one that we are looking for the search element."
271,0,So it will be looking for Java and then replacing it with Kava.
272,0,Let's execute it and say.
273,0,OK.
274,0,OK.
275,0,Let's compile it.
276,0,Make sure you keep a check on the semicolons and the brackets and everything.
277,0,OK.
278,0,"And the pop up is here, OK?"
279,0,Let's turn it off.
280,0,Let's try to execute.
281,0,"OK, there you go."
282,0,"So the original string is this, the string in uppercase, the lowercase replacing Java with Carver?"
283,0,"Let's do something else here now, Carat."
284,0,So we have another one.
285,0,The character.
286,0,Add index.
287,0,3.
288,0,Is.
289,0,Now this one takes the value.
290,0,"C should be small OK, so."
291,0,We are looking for character that is at 3.
292,0,So let me know what you are expecting.
293,0,What would be the character at third index?
294,0,The index starts from here.
295,0,"At 3rd place, what is the?"
296,0,Character.
297,0,So now the character are third place is a but you would say it's BY.
298,0,"Is it a cause the index starts from zero in a string, so the at 0 it's J, at one it's a second, at second position it's B."
299,0,"And 3rd, it is a so this is how it's working."
300,0,These are a few functions that we can use.
301,0,We have a few more as well.
302,0,Let's let's test all of them.
303,0,So we want to know.
304,0,The index.
305,0,Off.
306,0,L.
307,0,So the function for that is.
308,0,Index of.
309,0,And we'll pass.
310,0,And here.
311,0,"Index of L is 10, so if you count from here 012345678910, make sure you also count the white spaces in between."
312,0,They also take up space so you cannot just ignore it.
313,0,So it won't be like 0123.
314,0,Then we just go to I4 nodes.
315,0,The space is also counted here.
316,0,That would be index.
317,0,So we have various functions like this.
318,0,You can just keep on trying a few more.
319,0,You can just have a look at them and just play around with it.
320,0,It will be easy for you.
321,0,So this is how we define a string.
322,0,These are a few functions that we can use.
323,0,With the strings.
324,0,"OK, so let's start here."
325,0,"First of all, we'll learn what is the method we've been talking about member functions, functions, methods."
326,0,These all are the same things.
327,0,It's called method or a function.
328,0,How to define it?
329,0,Well you'll need an access specifier.
330,0,"It could be public, private."
331,0,Then you can use the keyword static.
332,0,Then the return type.
333,0,Return type is data type.
334,0,What kind of value are you going to return?
335,0,Then methods name then list of arguments.
336,0,So our input goes here and the return type will be defined here.
337,0,A return keyword would be used within the method in the method body.
338,0,Then we have how to call a function?
339,0,Well to call a function simply write the name.
340,0,And in brackets you pass the arguments that you want to.
341,0,Let's have a look at it how it looks practically.
342,0,So we've defined.
343,0,A simple class here it's called methods.
344,0,Let's define a function here public.
345,0,Static.
346,0,Let's return into.
347,0,This time we'll return integer type.
348,0,It's called add.
349,0,The functions name is add then.
350,0,String.
351,0,Argument.
352,0,Now further sorry you don't you'll pass on the arguments like int A as we are adding 2SO2 variables int AEA&B return.
353,0,A+.
354,0,B.
355,0,So you are returning it.
356,0,What we've done here is this is a class.
357,0,This is a function that I've defined in that class.
358,0,Its name is add.
359,0,"OK for now, it won't do anything because we are not calling it anywhere."
360,0,We are not utilizing it.
361,0,"We are not using it, but when we call it, that is when it will work."
362,0,So let's see.
363,0,Let's create the main function.
364,0,That's where the execution starts from.
365,0,So what we'll do here is we are simply going to.
366,0,"Call this function, it says."
367,0,Let's define a variable should be C Now when we call this function.
368,0,Add we'll pass arguments.
369,0,We passed 22.
370,0,Plus 22.
371,0,So it should return 44.
372,0,"So these two arguments, let me just make it a little different."
373,0,Okay?
374,0,42 should be the answer.
375,0,"22 goes into A, 20 goes into B."
376,0,The return word is used in the brackets.
377,0,"We pass whatever we want to return here, so the return would be 42."
378,0,So C should be equal.
379,0,"42 here, then we just print the result."
380,0,So there you go.
381,0,Compiled.
382,0,Let's check what's the output.
383,0,The output is.
384,0,The sum is 42.
385,0,So what happened here is that we had a class.
386,0,We've defined 2 functions.
387,0,One is the one that adds 2 numbers and returns the sum.
388,0,"We called it here In this way, these arguments are called actual."
389,0,Parameters.
390,0,These are called formal parameters.
391,0,You make sure you define the data type here so everything goes smooth.
392,0,Now let's give it another try.
393,0,Now let's try something different.
394,0,What if I try to call it?
395,0,Outside this class.
396,0,"So the class is public, the method is public."
397,0,Let's try it.
398,0,"OK, let's create another class Create."
399,0,Let's create it.
400,0,Here I'm gonna call it.
401,0,Umm.
402,0,Let's call it main.
403,0,And you should notice something that this main and that main are different.
404,0,Java is.
405,0,Case sensitive.
406,0,So this mean with starting with a capital letter is different from the other one.
407,0,OK So what I did here is I pasted the same code.
408,0,We are trying to call the add function but it shows us an error.
409,0,It says undeclared method.
410,0,We do not recognize it.
411,0,We don't know what you're talking about.
412,0,AD is not a function here.
413,0,Now what we do about it.
414,0,So like I told you.
415,0,So as you can see.
416,0,"As you can see, this is a different class."
417,0,This is a different class.
418,0,"So whenever we are trying to access members of another class, what we need to do is we'll create an object of that class."
419,0,So the classes name was methods.
420,0,"I'm giving it a name, I'll call it OB now new."
421,0,Methods.
422,0,So I have.
423,0,Created.
424,0,An object.
425,0,"Now, when I need to call any member of this class methods that we defined earlier, I'll use the object."
426,0,"OB dot whatever is the name of the object, whatever is it, you'll use that."
427,0,Now let's compile it and it should run.
428,0,"Yes, it compiles."
429,0,Now one thing you can see here that the main function got connected with the main class got connected with the methods function.
430,0,"So a function that's defined in the methods class is being used in the main class, here the add function."
431,0,"As we can see there is no method defined here that is called add, but it is defined in the methods class."
432,0,So keeping it simple.
433,0,Let's execute it and we want the answer to be 42.
434,0,We are executing the main class not the other one.
435,0,The answer remains same that sum is 42 just in case you not.
436,0,Selected this option Clear screen at method call.
437,0,"You might be getting new new outputs with the previous ones still on the console, so you can select this."
438,0,"I think it's pretty late to tell you that, but yes."
439,0,So clear screen at method calls sometimes by default.
440,0,The screen won't be cleared by the while we execute it.
441,0,The previous outputs would still be visible.
442,0,So just select this option.
443,0,OK yes.
444,0,Video8
445,0,Hello students so we are going to start our course here which is known as basics of Java.
446,0,"So you will be learning basic concepts of Java, how to write a program in Java, perform in various perform various tasks in Java."
447,0,"Before we dive into it, let's start with what Java is exactly."
448,0,So Java is an object oriented programming language.
449,0,What we mean by.
450,0,Object Oriented programming language.
451,0,We'll definitely discuss it just in a bit.
452,0,But just you should know that Java is an object oriented programming language.
453,0,There are various other object oriented programming languages.
454,0,"For example, C is one of the examples."
455,0,Now where do we use Java?
456,0,Java is used to make Android applications it.
457,0,"We used to make web applications mobile games, so it is employed at various."
458,0,Places it's employed in various projects Now a little bit of the history of Java.
459,0,It was developed by Sun Microsystems in 1990.
460,0,It was originally known as Oak.
461,0,"Later on its name was changed to Java, which was I think based on name of a coffee."
462,0,"OK, now let's understand when we say Java is an object oriented programming language, what do we mean exactly?"
463,0,So here there are various basic concepts of Java.
464,0,But here two major concepts of Java object in the class.
465,0,Well an object is an instance of class.
466,0,By instance of a classmate we mean that it is just like an example of a class.
467,0,And what is a class?
468,0,A class is a blueprint of an object.
469,0,"Or just like you can say that a class is just like a template, so a template which can be used to create various objects."
470,0,So class is a general template of a thing and we can create various objects of it now for example here.
471,0,You can see that a vehicle vehicle is the class here example.
472,0,Just taking it as an example from our real life.
473,0,"So when we say a vehicle, vehicle has vehicle could be any, it could be an airplane, it could be a train, it could be a car, bus, scooter, any of these."
474,0,So here we have taken a few examples.
475,0,So here we cycle is a class.
476,0,So a vehicle will have its own functionality.
477,0,We know a vehicle can have a maximum speed.
478,0,"Each and every vehicle would have a maximum speed, minimum speed."
479,0,It will have various other features.
480,0,"How many wheels it has, what?"
481,0,Color it is.
482,0,So all these things come under a vehicle.
483,0,A vehicle would have some properties.
484,0,"Now when we go in deeper, we'll see a car is the type of a vehicle."
485,0,"Now here we'll see that a car has its own specific details, OK."
486,0,One could be red in color.
487,0,It has four wheels.
488,0,Its maximum speed is 120 kilometer per hour.
489,0,"Similarly, a bus has its own properties."
490,0,"A scooter, it has two wheels rather than four."
491,0,"So it has its own properties, but all of them have wheels."
492,0,"OK, so a general."
493,0,Template.
494,0,A general way of calling them would be a Vehicle.
495,0,So Vehicle here is a class and all these are its objects.
496,0,No.
497,0,"Moving further, what's the difference between an object in a class?"
498,0,You do not have to worry about it if you do not understand it.
499,0,"Now when we do practice it practically while we are coding, you will definitely understand it."
500,0,So do not worry about it now.
501,0,"Here, just like we discussed, an object is an instance of class."
502,0,"A class is a collection of objects, so we can either call it a collection of objects or we can call it a blueprint of an object."
503,0,We can create multiple objects of a single class.
504,0,So we can also term it as collection of objects.
505,0,Now as the class is just a template so it does not take up any space on the memory.
506,0,Whereas when it comes to an object whenever we create an object of a class.
507,0,It does take up space on the memory.
508,0,Now taking it simply how when it comes to the coding part.
509,0,So how do we declare a class?
510,0,How we create a class?
511,0,So a class starts with class keyword.
512,0,Then you will give it a name.
513,0,You can give it any name.
514,0,"I've given it my class, that's the name."
515,0,Then curly brackets open.
516,0,The content will be included in these curly brackets.
517,0,That is how we will define a class.
518,0,"Now of the same class, whenever we want to create an object, first of all the name of the class."
519,0,"Whichever class it is, its name would go here."
520,0,Then object you can give it.
521,0,Any name I've given it obj equal to new.
522,0,Now new keyword is used here.
523,0,Then my class again the name of the name of the class round brackets; Make sure you put a semi colon here.
524,0,There are statements in Java where you have to put I think most of the statements.
525,0,Need a semi colon so you might write a whole code.
526,0,"It's all good, no errors."
527,0,But a semi colon might cause an issue and you might not be able to execute it.
528,0,So make sure you put a semi colon there.
529,0,"So that is the basic difference between a class and object, OK?"
530,0,"OK, let's have a look at these jump statements."
531,0,Now break.
532,0,"We've already seen in the switch case, but we'll just go over it again and continue."
533,0,These are two jump statements that help us jump from one line of code to the other while the execution is still on.
534,0,"So here we have a class, simply we've named it Jump State."
535,0,Let's define a for loop here int I.
536,0,"So in normal execution, we'll try."
537,0,We are printing eye here.
538,0,So now simply let's see what it does.
539,0,"So as we've already done it in the loop, it will print numbers zero to 10."
540,0,But now I want to show you how to use.
541,0,What does a break statement do?
542,0,So if.
543,0,I is equal equal to 5.
544,0,Then.
545,0,Break.
546,0,"So what a break statement would do is in case this block is executed, the control from this line would come out of the loop, which means the loop would be terminated."
547,0,"Let's see, although this loop should loop should go on."
548,0,Until it it prints zero to 10.
549,0,Let's see what happens when we add a break statement here.
550,0,"So there you go, 01234 and five."
551,0,So what happened here is when?
552,0,"It was equal to five this statement, this block of code was executed and the control came out of the loop."
553,0,So it never went back and checked these got incremented or checked the condition to iterate again.
554,0,"No, it was terminated."
555,0,Let's see what a continue statement does so now.
556,0,Working of break statement and a continuous statement are similar but.
557,0,How does it differ?
558,0,Can you notice something here?
559,0,There's something missing 5 is missing here.
560,0,Why?
561,0,The continuous statement works similar to the break statement.
562,0,"Whenever it's executed, it terminates the loop."
563,0,"But sorry, it does not terminate the loop, rather it ignores whatever is after it for one time."
564,0,"So when it was 5, continuous statement was executed and what happened is this line right here was ignored."
565,0,And the iteration and it moves to the next iteration.
566,0,That is how it works.
567,0,"Breaks statements, simply terminates the loop continuous statement."
568,0,"Ignores the part of a loop, a block of set after it, and continues with the next iteration."
569,0,Whereas that is not true for a break statement.
570,0,Break statement completely terminates it and never goes back.
571,0,So now here we'll understand what are packages in Java.
572,0,"Well packages in Java are a collection of similar classes, interfaces and sub packages."
573,0,For now you can just take it as these are a collection of classes functions.
574,0,Which can be used now.
575,0,These are of two types.
576,0,Built in and user defined.
577,0,So built in packages are those that are already loaded in the compiler in the JDK and you can just use them.
578,0,"You don't have to define them, you don't have to define a function, you don't have to define what task this has to perform."
579,0,"You can just import it and use it, as simple as that."
580,0,"And user defined packages are those, We can Group A few classes and we can name it as a package."
581,0,Those are called user defined packages.
582,0,Now we have a few examples of built-in packages.
583,0,The examples here are Java dot IO.
584,0,Now it includes various classes.
585,0,"I've mentioned a few classes here, buffer, reader, input stream, output stream."
586,0,So these are all used while taking an input.
587,0,Then we have Java Lang.
588,0,"It is a default package, by which I mean that you do not have to import it or explicitly mention that I want to use this package and it's classes in my program."
589,0,"No, you don't have to."
590,0,All these are already by default loaded.
591,0,Then we have Java dot util.
592,0,Java dot util contains classes like a Scanner class.
593,0,"Scanner classes used to take input again then date, time zone."
594,0,So whenever you want to use.
595,0,These kind of classes where you need the time zone and date of a user you can use Java dot util.
596,0,Then we have Java dot SQL.
597,0,So it basically like the name suggests SQL.
598,0,"So SQL is used for databases, so it's used for database connectivity."
599,0,We whenever we want to connect our Android or any other application to a database.
600,0,That is when we use it the Java application whenever it needs the database connectivity.
601,0,Now let's have a look at how to use these packages in our program.
602,0,Let's start with it.
603,0,Now packages.
604,0,So let's define a.
605,0,Class named package use.
606,0,This is where we'll learn how to use the package.
607,0,So.
608,0,OK.
609,0,So we've defined it.
610,0,Let's remove.
611,0,Comments and everything that we do not really need here.
612,0,OK.
613,0,So here we've defined it now just for an example.
614,0,Let's say we want to use the Scanner class here Scanner.
615,0,"I'll explain it further later on, but let's say Scanner."
616,0,It's the name of the class like I told you how to create an object new.
617,0,Scanner here.
618,0,We can.
619,0,In the brackets we can pass an argument.
620,0,"We'll be passing system in so that whatever input we get, we get it."
621,0,We get it to the Scanner class now.
622,0,Scanner class let let me try to use it.
623,0,"Now when I'm trying to use it, it's showing me some suggestions and it's telling me that the package or the class, I'm sorry, the class has not been defined."
624,0,"So to do that, like we read earlier, it is present in Java util."
625,0,So what we'll do is we'll use the keyword.
626,0,Import.
627,0,"Then Java dot util dot*; Now when we compile it, it shows no syntax errors, although it won't do anything."
628,0,We've just created an object and done nothing.
629,0,But this is how it works.
630,0,So what do we mean by this* So what it does is it will import all the classes that are present in the Java util package.
631,0,So all the classes be it Scanner class be it any other class.
